Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
131,Goran Dragić,PG,36,TOT,55,0,14.7,2.4,5.6,0.421,0.9,2.4,0.358,1.5,3.2,0.469,0.498,0.5,0.7,0.659,0.2,1.1,1.3,2.6,0.2,0.1,1.1,1.2,6.1
131,Goran Dragić,PG,36,CHI,51,0,15.4,2.5,5.9,0.425,0.9,2.5,0.352,1.6,3.4,0.48,0.5,0.5,0.8,0.659,0.3,1.1,1.4,2.7,0.2,0.1,1.1,1.2,6.4
131,Goran Dragić,PG,36,MIL,4,0,5.5,0.8,2.5,0.3,0.8,1.5,0.5,0,1,0,0.45,0,0,,0,0.5,0.5,1,0.5,0,0.5,0.5,2.3
132,Andre Drummond,C,29,CHI,64,0,12.8,2.5,4.2,0.609,0,0,0,2.5,4.1,0.616,0.609,1,1.8,0.539,2.1,4.6,6.7,0.5,0.7,0.4,1.2,1.8,6
133,Chris Duarte,SF,25,IND,46,12,19.5,2.7,7.2,0.369,1.2,3.8,0.316,1.5,3.5,0.428,0.452,1.3,1.6,0.847,0.4,2.1,2.5,1.4,0.5,0.2,0.9,1.4,7.9
134,David Duke Jr.,SG,23,BRK,20,0,9,1.5,3.2,0.46,0.1,0.4,0.125,1.4,2.8,0.509,0.468,0.4,0.6,0.636,0.4,0.7,1.1,0.8,0.4,0.1,0.8,1.4,3.3
135,Kris Dunn,PG,28,UTA,18,0,23.8,4.8,9.3,0.515,0.7,1.7,0.433,4.1,7.6,0.533,0.554,1.6,2.2,0.718,0.4,3.5,3.9,5,1.1,0.5,1.4,2.5,11.8
136,Kevin Durant,PF-SF,34,TOT,45,45,35.5,10.4,18.4,0.564,1.9,4.8,0.394,8.5,13.6,0.624,0.615,6.6,7.1,0.928,0.4,6.3,6.7,5.1,0.8,1.4,3.3,2.2,29.3
136,Kevin Durant,PF,34,BRK,39,39,36,10.5,18.8,0.559,1.8,4.8,0.376,8.7,14,0.622,0.607,6.8,7.3,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7
136,Kevin Durant,SF,34,PHO,6,6,32.5,9.7,16,0.604,2.3,4.5,0.519,7.3,11.5,0.638,0.677,5.2,5.8,0.886,0.3,6.2,6.5,3.7,0.3,1.3,2.2,1,26.8
137,Jalen Duren,C,19,DET,63,27,24.5,3.7,5.8,0.639,0,0,0,3.7,5.8,0.642,0.639,1.4,2.4,0.6,3.4,5.2,8.7,1.1,0.7,0.9,1.2,2.7,8.9
138,Tari Eason,PF,21,HOU,79,5,21.3,3.6,8,0.447,0.7,2.1,0.343,2.8,5.9,0.484,0.492,1.3,1.8,0.75,2.4,3.6,6,1,1.2,0.5,1.2,2.3,9.2
139,Anthony Edwards,SG,21,MIN,76,76,36.1,8.9,19.4,0.46,2.7,7.3,0.368,6.3,12.1,0.515,0.529,4,5.2,0.759,0.5,5.2,5.7,4.5,1.6,0.7,3.3,2.4,24.5
140,Kessler Edwards,SF,22,TOT,32,4,10.4,1.1,2.6,0.405,0.5,1.6,0.32,0.6,1.1,0.529,0.5,0.3,0.4,0.769,0.6,1,1.6,0.6,0.3,0.2,0.4,1.1,2.9
140,Kessler Edwards,SF,22,BRK,14,1,5.6,0.4,1.7,0.25,0.1,0.9,0.167,0.3,0.9,0.333,0.292,0.1,0.1,0.5,0.4,0.6,1,0.1,0.2,0.1,0.3,0.2,1.1
140,Kessler Edwards,SF,22,SAC,18,3,14.1,1.6,3.3,0.467,0.8,2.1,0.368,0.8,1.2,0.636,0.583,0.5,0.6,0.818,0.7,1.3,2.1,0.9,0.4,0.3,0.4,1.7,4.4
141,Keon Ellis,SG,23,SAC,13,0,3.8,0.5,1,0.538,0.5,0.8,0.6,0.1,0.2,0.333,0.769,0.2,0.2,0.667,0.3,0.3,0.6,0.3,0.2,0.1,0.1,0.7,1.7
