Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Column1,OWS,DWS,WS,WS/48,2,OBPM,DBPM,BPM,VORP
373,Kelly Oubre Jr.,SF,27,CHO,48,1548,14.9,0.534,0.414,0.254,4.4,13,8.6,5.5,2.1,1,6.6,26.5,,0.2,1.5,1.6,0.051,,-0.4,-0.8,-1.1,0.3
480,Devin Vassell,SG,22,SAS,38,1178,15.5,0.55,0.447,0.168,0.7,13.6,6.9,17.4,1.7,1.2,8.2,24.5,,0.7,0.5,1.2,0.051,,1.3,-0.9,0.3,0.7
494,P.J. Washington,PF,24,CHO,73,2380,12.9,0.542,0.438,0.178,3.2,13.1,8,10.9,1.3,2.9,9.4,20.6,,0.4,2.1,2.5,0.051,,-1,-0.3,-1.3,0.4
25,Dalano Banton,PG,23,TOR,28,252,13.6,0.494,0.407,0.168,3.8,13.6,8.3,16.8,2.5,4.6,11.6,23.2,,-0.1,0.4,0.3,0.05,,-2.1,0.8,-1.4,0
207,Haywood Highsmith,SF,26,MIA,51,891,8.6,0.52,0.52,0.131,6.3,16.4,11.2,5.5,1.9,1.7,15,12.3,,-0.2,1.1,0.9,0.05,,-3.6,0.7,-2.9,-0.2
140,Kessler Edwards,SF,22,TOT,32,332,8.9,0.524,0.595,0.155,6.6,10.8,8.8,7.2,1.6,1.6,11.8,13.3,,0.1,0.3,0.3,0.05,,-2.7,-1,-3.7,-0.1
145,Dorian Finney-Smith,PF,29,TOT,64,1953,9.2,0.52,0.677,0.121,6.6,11.4,9,6.7,1.4,1.6,10.5,13.2,,0.5,1.5,2,0.05,,-1.8,-0.3,-2.1,0
299,Sandro Mamukelashvili,C,23,MIL,24,217,8.5,0.432,0.552,0.31,9,17.5,13.4,9.3,0.9,1.9,12,14.5,,-0.1,0.3,0.2,0.05,,-4,0.3,-3.6,-0.1
22,Mo Bamba,C,24,LAL,7,81,11.1,0.537,0.625,0.458,12.3,35.7,24.4,6.5,0.6,4.2,21.7,19.2,,-0.1,0.1,0.1,0.05,,-5.2,-0.2,-5.4,-0.1
401,Cam Reddish,SF,23,TOT,40,990,10.6,0.561,0.462,0.24,2.1,8,5,8.2,1.9,1.3,12,17.2,,0.3,0.7,1,0.049,,-2.7,-0.7,-3.4,-0.4
